Data;Rendimento médio de todos os trabalhos habituais mensais - mensalizada - R$ - Instituto de Pesquisa Econômica Aplicada - PNADC12_RTHM12;
2012.01;1391;
2012.02;1411;
2012.03;1479;
2012.04;1426;
2012.05;1417;
2012.06;1504;
2012.07;1460;
2012.08;1444;
2012.09;1516;
2012.10;1478;
2012.11;1466;
2012.12;1534;
2013.01;1532;
2013.02;1526;
2013.03;1590;
2013.04;1568;
2013.05;1552;
2013.06;1645;
2013.07;1609;
2013.08;1594;
2013.09;1654;
2013.10;1643;
2013.11;1599;
2013.12;1649;
2014.01;1670;
2014.02;1681;
2014.03;1740;
2014.04;1705;
2014.05;1707;
2014.06;1738;
2014.07;1709;
2014.08;1754;
2014.09;1771;
2014.10;1752;
2014.11;1745;
2014.12;1805;
2015.01;1802;
2015.02;1793;
2015.03;1874;
2015.04;1849;
2015.05;1818;
2015.06;1931;
2015.07;1849;
2015.08;1823;
2015.09;1953;
2015.10;1859;
2015.11;1825;
2015.12;1977;
2016.01;1937;
2016.02;1849;
2016.03;2054;
2016.04;1946;
2016.05;1905;
2016.06;2027;
2016.07;1980;
2016.08;1982;
2016.09;2042;
2016.10;2007;
2016.11;2002;
2016.12;2087;
2017.01;2046;
2017.02;2043;
2017.03;2141;
2017.04;2033;
2017.05;2048;
2017.06;2120;
2017.07;2043;
2017.08;2042;
2017.09;2164;
2017.10;2080;
2017.11;2089;
2017.12;2190;
2018.01;2124;
2018.02;2136;
2018.03;2201;
2018.04;2159;
2018.05;2154;
2018.06;2233;
2018.07;2177;
2018.08;2215;
2018.09;2220;
2018.10;2204;
2018.11;2236;
2018.12;2268;
2019.01;2250;
2019.02;2280;
2019.03;2274;
2019.04;2253;
2019.05;2265;
2019.06;2292;
2019.07;2243;
2019.08;2300;
2019.09;2296;
2019.10;2296;
2019.11;2345;
2019.12;2316;
2020.01;2354;
2020.02;2389;
2020.03;2386;
2020.04;2434;
2020.05;2496;
2020.06;2485;
2020.07;2526;
2020.08;2506;
2020.09;2519;
2020.10;2461;
2020.11;2486;
2020.12;2482;
2021.01;2505;
2021.02;2476;
2021.03;2556;
2021.04;2469;
2021.05;2522;
2021.06;2478;
2021.07;2457;
2021.08;2473;
2021.09;2421;
2021.10;2428;
2021.11;2455;
2021.12;2433;
2022.01;2552;
2022.02;2520;
2022.03;2542;
2022.04;2614;
2022.05;2649;
2022.06;2658;
2022.07;2736;
2022.08;2709;
2022.09;2731;
2022.10;2782;
2022.11;2808;
2022.12;2795;
2023.01;2860;
2023.02;2861;
2023.03;2874;
2023.04;2894;
2023.05;2891;
2023.06;2933;
2023.07;2934;
2023.08;2927;
2023.09;3036;
2023.10;2985;
2023.11;3027;
2023.12;3030;
2024.01;3126;
2024.02;3123;
2024.03;3067;
2024.04;3208;
2024.05;3212;
2024.06;3162;
2024.07;3187;
2024.08;3278;
2024.09;3158;
2024.10;3270;
2024.11;3366;
2024.12;3245;
2025.01;3353;
2025.02;3472;
2025.03;3342;
2025.04;3399;
2025.05;3557;
2025.06;3475;
2025.07;3420;
2025.08;3568;
2025.09;3532;
2025.10;3484;
2025.11;3705;
2025.12;3650;
2026.01;3600;
2026.02;3786;
2026.03;3780;
2026.04;3631;
2026.05;3766;
2026.06;3817;
2026.07;3702;
